Size,Algorithm,DataType,AvgComparisons,AvgTime_ms,MedianTime_ms
100,QuickSort,Random,640,0.183,0.070
100,QuickSort,Reversed,5016,0.364,0.336
100,QuickSort,Almost_Sorted,2272,0.272,0.217
100,QuickSort,Common_Prefix,9313,0.246,0.226
200,QuickSort,Random,1740,0.213,0.204
200,QuickSort,Reversed,20199,2.855,1.472
200,QuickSort,Almost_Sorted,6381,0.836,0.482
200,QuickSort,Common_Prefix,20845,0.621,0.518
300,QuickSort,Random,3038,0.324,0.308
300,QuickSort,Reversed,45467,3.639,2.541
300,QuickSort,Almost_Sorted,10781,0.627,0.546
300,QuickSort,Common_Prefix,39651,1.840,0.980
400,QuickSort,Random,4619,0.461,0.431
400,QuickSort,Reversed,80903,4.449,4.343
400,QuickSort,Almost_Sorted,29569,1.772,1.880
400,QuickSort,Common_Prefix,59954,1.056,1.017
500,QuickSort,Random,5394,0.468,0.513
500,QuickSort,Reversed,126403,6.852,7.159
500,QuickSort,Almost_Sorted,10035,0.776,0.522
500,QuickSort,Common_Prefix,71906,1.620,1.243
600,QuickSort,Random,7363,0.461,0.451
600,QuickSort,Reversed,182033,9.658,9.588
600,QuickSort,Almost_Sorted,14588,0.949,0.989
600,QuickSort,Common_Prefix,85685,1.896,2.023
700,QuickSort,Random,9161,0.745,0.801
700,QuickSort,Reversed,247922,12.552,12.079
700,QuickSort,Almost_Sorted,27312,1.603,1.696
700,QuickSort,Common_Prefix,126016,2.303,2.171
800,QuickSort,Random,10758,0.913,0.967
800,QuickSort,Reversed,323831,17.103,16.873
800,QuickSort,Almost_Sorted,42495,2.266,2.107
800,QuickSort,Common_Prefix,120352,2.371,2.139
900,QuickSort,Random,12657,0.887,0.807
900,QuickSort,Reversed,410078,21.435,21.508
900,QuickSort,Almost_Sorted,32110,1.761,1.632
900,QuickSort,Common_Prefix,137989,2.484,2.367
1000,QuickSort,Random,14556,1.032,0.981
1000,QuickSort,Reversed,506240,25.370,25.181
1000,QuickSort,Almost_Sorted,40818,2.085,1.916
1000,QuickSort,Common_Prefix,171452,3.119,2.889
1100,QuickSort,Random,15547,1.252,1.297
1100,QuickSort,Reversed,612516,31.061,30.535
1100,QuickSort,Almost_Sorted,29734,1.669,1.631
1100,QuickSort,Common_Prefix,194148,3.793,3.516
1200,QuickSort,Random,17893,1.150,1.114
1200,QuickSort,Reversed,729228,37.036,36.741
1200,QuickSort,Almost_Sorted,46397,2.490,2.374
1200,QuickSort,Common_Prefix,211122,4.502,4.641
1300,QuickSort,Random,20339,1.353,1.315
1300,QuickSort,Reversed,855642,43.867,43.556
1300,QuickSort,Almost_Sorted,37111,2.257,2.426
1300,QuickSort,Common_Prefix,231617,4.641,4.486
1400,QuickSort,Random,22687,1.650,1.483
1400,QuickSort,Reversed,992564,50.674,49.943
1400,QuickSort,Almost_Sorted,55440,2.926,2.641
1400,QuickSort,Common_Prefix,226389,4.519,4.263
1500,QuickSort,Random,22222,1.583,1.393
1500,QuickSort,Reversed,1139456,59.465,58.130
1500,QuickSort,Almost_Sorted,52022,2.485,2.364
1500,QuickSort,Common_Prefix,261070,4.972,4.871
1600,QuickSort,Random,26631,1.849,1.780
1600,QuickSort,Reversed,1296507,67.635,67.673
1600,QuickSort,Almost_Sorted,60729,3.642,3.904
1600,QuickSort,Common_Prefix,291061,5.994,6.170
1700,QuickSort,Random,27811,2.108,2.071
1700,QuickSort,Reversed,1463520,77.080,77.361
1700,QuickSort,Almost_Sorted,58024,2.927,2.785
1700,QuickSort,Common_Prefix,322790,6.570,6.587
1800,QuickSort,Random,28746,2.158,2.217
1800,QuickSort,Reversed,1641183,90.261,87.883
1800,QuickSort,Almost_Sorted,54731,2.894,2.840
1800,QuickSort,Common_Prefix,309725,5.905,5.638
1900,QuickSort,Random,32347,2.139,2.062
1900,QuickSort,Reversed,1828442,96.330,95.860
1900,QuickSort,Almost_Sorted,82535,4.354,4.227
1900,QuickSort,Common_Prefix,421519,8.527,8.325
2000,QuickSort,Random,32507,2.439,2.457
2000,QuickSort,Reversed,2025962,109.273,109.569
2000,QuickSort,Almost_Sorted,66626,3.705,3.616
2000,QuickSort,Common_Prefix,413845,8.459,8.298
2100,QuickSort,Random,36398,2.370,2.224
2100,QuickSort,Reversed,2233884,106.162,104.750
2100,QuickSort,Almost_Sorted,96555,4.810,4.586
2100,QuickSort,Common_Prefix,379781,6.628,6.503
2200,QuickSort,Random,37653,2.385,2.356
2200,QuickSort,Reversed,2451364,118.541,116.360
2200,QuickSort,Almost_Sorted,105578,5.021,4.990
2200,QuickSort,Common_Prefix,411796,7.043,7.030
2300,QuickSort,Random,39255,2.410,2.391
2300,QuickSort,Reversed,2679529,127.266,126.749
2300,QuickSort,Almost_Sorted,78482,3.649,3.449
2300,QuickSort,Common_Prefix,422581,7.334,7.301
2400,QuickSort,Random,44248,2.577,2.461
2400,QuickSort,Reversed,2917750,140.432,138.536
2400,QuickSort,Almost_Sorted,136163,6.235,6.270
2400,QuickSort,Common_Prefix,498842,8.474,8.517
2500,QuickSort,Random,42527,2.667,2.547
2500,QuickSort,Reversed,3165632,162.180,157.338
2500,QuickSort,Almost_Sorted,163389,7.958,7.926
2500,QuickSort,Common_Prefix,469128,8.162,8.079
2600,QuickSort,Random,44548,2.790,2.754
2600,QuickSort,Reversed,3424221,165.056,162.177
2600,QuickSort,Almost_Sorted,163859,10.462,9.083
2600,QuickSort,Common_Prefix,495696,8.592,8.559
2700,QuickSort,Random,49143,3.138,3.087
2700,QuickSort,Reversed,3692820,176.339,175.966
2700,QuickSort,Almost_Sorted,114563,5.281,5.259
2700,QuickSort,Common_Prefix,580218,10.089,9.996
2800,QuickSort,Random,49952,3.096,3.011
2800,QuickSort,Reversed,3971630,189.568,189.306
2800,QuickSort,Almost_Sorted,194463,10.169,9.834
2800,QuickSort,Common_Prefix,571499,11.492,10.510
2900,QuickSort,Random,53204,3.256,3.196
2900,QuickSort,Reversed,4259999,207.727,204.318
2900,QuickSort,Almost_Sorted,121883,5.927,5.866
2900,QuickSort,Common_Prefix,568478,9.818,9.756
3000,QuickSort,Random,56149,3.542,3.532
3000,QuickSort,Reversed,4558969,219.699,218.242
3000,QuickSort,Almost_Sorted,138708,6.195,6.090
3000,QuickSort,Common_Prefix,569055,10.331,9.849
100,MergeSort,Random,611,0.309,0.313
100,MergeSort,Reversed,370,0.278,0.270
100,MergeSort,Almost_Sorted,547,0.294,0.277
100,MergeSort,Common_Prefix,8324,0.457,0.415
200,MergeSort,Random,1497,0.681,0.679
200,MergeSort,Reversed,897,0.685,0.653
200,MergeSort,Almost_Sorted,1270,0.658,0.669
200,MergeSort,Common_Prefix,19273,0.927,0.913
300,MergeSort,Random,2529,1.134,1.116
300,MergeSort,Reversed,1508,1.101,1.062
300,MergeSort,Almost_Sorted,2301,1.131,1.096
300,MergeSort,Common_Prefix,31962,1.545,1.516
400,MergeSort,Random,3638,1.794,1.598
400,MergeSort,Reversed,2217,2.332,2.364
400,MergeSort,Almost_Sorted,3151,2.186,2.385
400,MergeSort,Common_Prefix,44784,2.236,2.187
500,MergeSort,Random,4877,2.076,2.072
500,MergeSort,Reversed,3010,1.955,1.915
500,MergeSort,Almost_Sorted,4326,2.015,1.977
500,MergeSort,Common_Prefix,58669,2.834,2.752
600,MergeSort,Random,6099,2.596,2.537
600,MergeSort,Reversed,3624,2.454,2.387
600,MergeSort,Almost_Sorted,5216,2.521,2.474
600,MergeSort,Common_Prefix,73460,3.535,3.496
700,MergeSort,Random,7387,3.095,3.084
700,MergeSort,Reversed,4385,2.976,2.884
700,MergeSort,Almost_Sorted,6766,2.988,2.913
700,MergeSort,Common_Prefix,87581,4.189,4.017
800,MergeSort,Random,8788,3.538,3.441
800,MergeSort,Reversed,5199,3.429,3.333
800,MergeSort,Almost_Sorted,7641,3.538,3.498
800,MergeSort,Common_Prefix,102522,4.866,4.838
900,MergeSort,Random,10163,4.203,4.096
900,MergeSort,Reversed,6046,3.841,3.703
900,MergeSort,Almost_Sorted,8998,4.050,3.985
900,MergeSort,Common_Prefix,118227,5.573,5.483
1000,MergeSort,Random,11566,4.675,4.582
1000,MergeSort,Reversed,7042,4.339,4.232
1000,MergeSort,Almost_Sorted,10363,4.641,4.402
1000,MergeSort,Common_Prefix,133854,6.279,6.220
1100,MergeSort,Random,12980,5.225,5.120
1100,MergeSort,Reversed,7840,4.749,4.489
1100,MergeSort,Almost_Sorted,11855,4.874,4.837
1100,MergeSort,Common_Prefix,148990,7.037,7.117
1200,MergeSort,Random,14522,5.675,5.575
1200,MergeSort,Reversed,8547,5.343,5.149
1200,MergeSort,Almost_Sorted,13262,5.570,5.435
1200,MergeSort,Common_Prefix,165465,8.072,7.894
1300,MergeSort,Random,16004,6.669,6.257
1300,MergeSort,Reversed,9313,5.917,5.987
1300,MergeSort,Almost_Sorted,14577,6.076,6.133
1300,MergeSort,Common_Prefix,181946,8.337,8.300
1400,MergeSort,Random,17583,6.681,6.720
1400,MergeSort,Reversed,10207,6.302,6.278
1400,MergeSort,Almost_Sorted,16124,6.811,6.623
1400,MergeSort,Common_Prefix,198001,9.142,9.080
1500,MergeSort,Random,19099,7.398,7.337
1500,MergeSort,Reversed,11131,6.909,6.857
1500,MergeSort,Almost_Sorted,17226,7.196,7.031
1500,MergeSort,Common_Prefix,214070,14.252,9.919
1600,MergeSort,Random,20612,7.839,7.829
1600,MergeSort,Reversed,12148,7.501,7.446
1600,MergeSort,Almost_Sorted,18753,7.680,7.550
1600,MergeSort,Common_Prefix,231410,10.857,10.857
1700,MergeSort,Random,22297,8.463,8.364
1700,MergeSort,Reversed,13055,8.068,8.165
1700,MergeSort,Almost_Sorted,20281,8.111,8.143
1700,MergeSort,Common_Prefix,248477,11.693,11.777
1800,MergeSort,Random,23910,9.173,9.047
1800,MergeSort,Reversed,14078,9.026,8.357
